order_id,customer_id,product_id,order_date,quantity,unit_price,discount,region,payment_method,gross_amount,discount_amount,net_amount,net_unit_price,transaction_size,order_year,order_month,order_day
10001,C001,P001,2026-01-01,2,799.0,0.05,South,UPI,1598.0,79.9,1518.1,759.05,large,2026,1,1
10002,C002,P002,2026-01-01,1,1299.0,0.0,East,Card,1299.0,0.0,1299.0,1299.0,medium,2026,1,1
10003,C003,P003,2026-01-02,3,499.0,0.1,North,UPI,1497.0,149.7,1347.3,449.1,medium,2026,1,2
10004,C001,P004,2026-01-02,1,2499.0,0.05,South,Card,2499.0,124.95,2374.05,2374.05,large,2026,1,2
10005,C004,P002,2026-01-03,2,1299.0,0.0,West,UPI,2598.0,0.0,2598.0,1299.0,large,2026,1,3
10006,C005,P005,2026-01-03,5,199.0,0.15,South,Cash,995.0,149.25,845.75,169.15,medium,2026,1,3
10007,C002,P001,2026-01-04,1,799.0,0.0,East,UPI,799.0,0.0,799.0,799.0,medium,2026,1,4
10008,C006,P003,2026-01-04,2,499.0,0.05,North,Card,998.0,49.9,948.1,474.05,medium,2026,1,4
10009,C003,P006,2026-01-05,1,3499.0,0.0,North,UPI,3499.0,0.0,3499.0,3499.0,large,2026,1,5
10010,C007,P004,2026-01-05,1,2499.0,0.1,West,Card,2499.0,249.9,2249.1,2249.1,large,2026,1,5
